"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"163","Rhachistia aldabrae",67485998,"CR","B1ac(iv)+2ac(iv)","5","5",NA,2,4,5,0.5,9,90,163,180,NA
"164","Pteropus aldabrensis",22079192,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii); D","100-156","374","200-250",2,2,5,1,8,80,164,80,NA
"165","Sason sechellanum",2442709,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,165,50,NA
"166","Larinia dasia",2442744,"EN","B1ab(iii)+2ab(iii)","100","100",NA,2,2,5,1,5,50,166,50,NA
"167","Prasonica anarillea",2442751,"EN","B1ab(iii)+2ab(iii)","100","100",NA,2,2,5,1,5,50,167,50,NA
"168","Prasonicella marsa",2442758,"EN","B1ab(iii)+2ab(iii)","100","100",NA,2,2,5,1,5,50,168,50,NA
"169","Clubiona mahensis",2442772,"EN","B1ab(iii)+2ab(iii)","20","400",NA,2,2,5,1,5,50,169,50,NA
"170","Clubiona nigrimaculosa",2442779,"EN","B1ab(iii)+2ab(iii)","25","500",NA,2,2,5,1,5,50,170,50,NA
"171","Gamasomorpha mornensis",2442877,"EN","B2ab(iii)","100","6000",NA,2,2,5,1,5,50,171,50,NA
"172","Lionneta mahensis",2442905,"EN","B1ab(iii)+2ab(iii)","15","300",NA,2,2,5,1,5,50,172,50,NA
"173","Lionneta orophila",2442912,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,173,50,NA
"174","Lionneta praslinensis",2442919,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,174,50,NA
"175","Lionneta savyi",2442926,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,175,50,NA
"176","Lionneta sechellensis",2442933,"EN","B1ab(iii)+2ab(iii)","100","650",NA,2,2,5,1,5,50,176,50,NA
"177","Orchestina justini",2442982,"EN","B1ab(iii)+2ab(iii)","20","300",NA,2,2,5,1,5,50,177,50,NA
"178","Orchestina sechellorum",2442996,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,178,50,NA
"179","Patri david",2443003,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,179,50,NA
"180","Stenoonops opisthornatus",2443038,"EN","B1ab(iii)+2ab(iii)","20","500",NA,2,2,5,1,5,50,180,50,NA
"181","Cenemus mikehilli",2443073,"EN","B1ab(iii)+2ab(iii)","20","100",NA,2,2,5,1,5,50,181,50,NA
"182","Cynapes wrighti",2443129,"EN","B1ab(iii)+2ab(iii)","30","150",NA,2,2,5,1,5,50,182,50,NA
"183","Hispo alboclypea",2443171,"EN","B1ab(iii)+2ab(iii)","20","300",NA,2,2,5,1,5,50,183,50,NA
"184","Hispo striolata",2443178,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,184,50,NA
"185","Pseudicius seychellensis",2443206,"EN","B1ab(iii)+2ab(iii)","10","600",NA,2,2,5,1,5,50,185,50,NA
"186","Sadies gibbosa",2443220,"EN","B1ab(iii)+2ab(iii)","100","650",NA,2,2,5,1,5,50,186,50,NA
"187","Anapistula seychellensis",2443304,"EN","B1ab(iii)+2ab(iii)","20","300","2000000",2,2,5,1,5,50,187,50,NA
"188","Seychellia wiljoi",2443325,"EN","B1ab(iii)+2ab(iii)","50","700",NA,2,2,5,1,5,50,188,50,NA
"189","Mariblemma pandani",2458679,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,189,50,NA
