"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"172",NA,"Ceropegia rhynchantha","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",2680425,2011-03-25,"VU","3.1","D1","D1","Extant","Native",6,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"48","1019221","499","11",1,1.66666666666667,2,7,23.3333333333333,172,11.6666666666667,NA
"173",NA,"Diospyros platanoides","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","EBENACEAE",1393138,2015-07-13,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"28","39138",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"174",NA,"Landolphia maxima","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",2679365,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"40","122917",NA,"9",1,3.33333333333333,2,3,20,173,10,NA
"175",NA,"Salacia lenticellosa","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",2749125,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"32","134764",NA,"7",1,3.33333333333333,2,3,20,173,10,NA
"176",NA,"Baphia dewildeana","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",2854685,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"24","64360",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"177",NA,"Afrofittonia silvestris","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",2926851,2011-03-25,"VU","3.1","A2c","A2c","Extant","Native",3,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"136","40126",NA,NA,1,3.33333333333333,2,3,20,173,10,NA
"178",NA,"Isoglossa nervosa","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",2926941,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"48","21960",NA,"10",1,3.33333333333333,2,3,20,173,10,NA
"179",NA,"Begonia preussii","TRACHEOPHYTA","MAGNOLIOPSIDA","CUCURBITALES","BEGONIACEAE",2927990,2011-03-25,"VU","3.1","A2c","A2c","Extant","Native",3,"Decreasing",NA,"Yes","Yes",NA,"Yes",NA,NA,"108-124","68642-70152",NA,"16-20",1,3.33333333333333,2,3,20,173,10,NA
"180",NA,"Acanthopale decempedalis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",3000415,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing","No","Yes",NA,NA,NA,NA,NA,"100","41374",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"181",NA,"Brachystephanus longiflorus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",3000760,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"36","32882",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"182",NA,"Justicia orbicularis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",3001152,2011-03-25,"VU","3.1","A2c","A2c","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"52","131372",NA,"13",1,3.33333333333333,2,3,20,173,10,NA
"183",NA,"Monodora unwinii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",9722596,1998-01-01,"VU","2.3","A1c, B1+2c","A2c;B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,1,20,173,20,NA
"184",NA,"Loesenera talbotii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9724804,2004-04-30,"VU","3.1","A3c; B2ab(iii)","A3c; B2ab(iii)","Extant","Native",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,20,173,20,NA
"185",NA,"Jollydora glandulosa","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","CONNARACEAE",10000412,1998-01-01,"VU","2.3","B1+2c, D2","B1ab(iii);D2","Extant","Native",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,20,173,20,NA
"186",NA,"Crotonogyne strigosa","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",10999178,2004-04-30,"VU","3.1","A3c; B2ab(iii)","A3c; B2ab(iii)","Extant","Native",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,20,173,20,NA
"187",NA,"Angraecum egertonii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87739882,2016-07-20,"VU","3.1","B2ab(i,ii,iii,iv,v)","B2ab(i,ii,iii,iv,v)","Extant","Native",3,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"24","238436.2",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"188",NA,"Panicum acrotrichum","TRACHEOPHYTA","LILIOPSIDA","POALES","POACEAE",110090779,2020-10-28,"VU","3.1","A2c","A2c","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"68-88","132834",NA,"11-12",1,3.33333333333333,2,3,20,173,10,NA
"189",NA,"Aframomum makandense","TRACHEOPHYTA","LILIOPSIDA","ZINGIBERALES","ZINGIBERACEAE",124285335,2018-03-09,"VU","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"32","10848",NA,"6",1,3.33333333333333,2,3,20,173,10,NA
"190",NA,"Craibia simplex","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",174513160,2021-03-10,"VU","3.1","B2ab(i,ii,iii,iv,v)","B2ab(i,ii,iii,iv,v)","Extant","Native",3,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes",NA,"48","51513.2",NA,"7",1,3.33333333333333,2,3,20,173,10,NA
"191","Green-breasted Bushshrike","Malaconotus gladiator","CHORDATA","AVES","PASSERIFORMES","MALACONOTIDAE",192838778,2020-12-15,"VU","3.1","C2a(i)","C2a(i)","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"27600","2500-9999",NA,1,5,2,2,20,173,10,NA
"192",NA,"Didogobius amicuscaridis","CHORDATA","ACTINOPTERYGII","GOBIIFORMES","GOBIIDAE",60789027,2015-03-09,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Unknown",NA,NA,NA,NA,NA,NA,NA,"720",NA,NA,"2",1,3.33333333333333,1,5,16.6666666666667,192,16.6666666666667,NA
"193",NA,"Pleioceras zenkeri","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",2679888,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",4,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"28","123480",NA,"7",1,2.5,2,3,15,193,7.5,NA
"194",NA,"Leptoderris aurantiaca","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",2751281,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",4,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"48","147480",NA,"9",1,2.5,2,3,15,193,7.5,NA
"195",NA,"Brillantaisia lancifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",3000908,2011-03-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",4,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"40","62167",NA,"10",1,2.5,2,3,15,193,7.5,NA
"196",NA,"Xylopia africana","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",3001846,2011-03-25,"VU","3.1","A2c","A2c","Extant","Native",4,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"108","60113",NA,NA,1,2.5,2,3,15,193,7.5,NA
"197",NA,"Astropanax mannii","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",3002015,2011-03-25,"VU","3.1","A2c","A2c","Extant","Native",4,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"108","97981",NA,"15",1,2.5,2,3,15,193,7.5,NA
"198",NA,"Bulbophyllum porphyrostachys","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87585178,2016-08-11,"VU","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",4,"Decreasing","Yes","Yes","No","No","No","No",NA,"52","227165.4",NA,"10",1,2.5,2,3,15,193,7.5,NA
"199",NA,"Ardisia bamendae","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",110082619,2021-08-24,"VU","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",2,"Stable",NA,"Yes",NA,NA,"Yes",NA,NA,"56","3651",NA,"6",1,5,1,3,15,193,15,NA
"200",NA,"Hypoxis suffruticosa","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","HYPOXIDACEAE",110090287,2020-09-25,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"48","63910",NA,"9-10",1,5,1,3,15,193,15,NA
"201",NA,"Guaduella humilis","TRACHEOPHYTA","LILIOPSIDA","POALES","POACEAE",110091027,2020-06-04,"VU","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"3761",NA,"7-8",1,5,1,3,15,193,15,NA
"202",NA,"Potamonautes reidi","ARTHROPODA","MALACOSTRACA","DECAPODA","POTAMONAUTIDAE",134455919,2019-10-04,"VU","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"48","18486",NA,"9",1,5,1,3,15,193,15,NA
"203",NA,"Xylopia monticola","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",137112209,2018-11-26,"VU","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"36","18590",NA,"6-9",1,5,1,3,15,193,15,NA
