"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1014",NA,"Arawakia macrocarpa","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CLUSIACEAE",218172518,2022-05-23,"VU","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"6127",NA,"4",1,10,2,4,80,835,40,NA
"1015","Yellow-headed Manakin","Chloropipo flavicapilla","CHORDATA","AVES","PASSERIFORMES","PIPRIDAE",221216502,2022-09-16,"VU","3.1","C2a(i)","C2a(i)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","18400","71400","3500-4000",NA,1,10,2,4,80,835,40,NA
"1016",NA,"Miconia rheophytica","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",226176988,2022-12-19,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"24","3141",NA,"4",2,10,1,4,80,835,80,NA
"1017",NA,"Amyris pacis","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",226178244,2022-12-19,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"12","119",NA,"3",2,10,1,4,80,835,80,NA
"1018","Murciélago","Rustia alba","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",228551746,2024-03-17,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"28","23297",NA,"5",2,5,2,4,80,835,40,NA
"1019",NA,"Telebasis blasi","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE",237975698,2023-06-19,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"398",NA,"3",2,10,1,4,80,835,80,NA
"1020",NA,"Telebasis noveloi","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE",237975703,2023-06-19,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"3509",NA,"3",2,10,1,4,80,835,80,NA
"1021",NA,"Pentagonia subsessilis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",240611175,2024-02-10,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12","1187",NA,"3",2,5,2,4,80,835,40,NA
"1022",NA,"Joseanthus chimborazensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",240866031,2023-06-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"16","26093",NA,"4",2,5,2,4,80,835,40,NA
"1023",NA,"Bunchosia deflexa","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","MALPIGHIACEAE",240869454,2023-06-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"16","38559",NA,"4",2,5,2,4,80,835,40,NA
"1024",NA,"Cupania riopalenquensis","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE",240870796,2023-06-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"12","32828",NA,"3",2,5,2,4,80,835,40,NA
"1025",NA,"Sommera purdiei","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",240873688,2023-06-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"28","91957",NA,"5",2,5,2,4,80,835,40,NA
"1026","Candelero","Oreopanax argentatus","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",240875612,2023-06-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"16","5880",NA,"5",2,5,2,4,80,835,40,NA
"1027","Cincodedos","Oreopanax trianae","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",247638064,2020-03-01,"VU","3.1","B1ab(iii,iv)","B1ab(iii,iv)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"Yes",NA,NA,"13711",NA,"4",1,10,2,4,80,835,40,NA
"1028",NA,"Dracula venosa","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253767119,2023-09-11,"EN","3.1","B1ab(v)+2ab(v)","B1ab(v)+2ab(v)","Extant","Native",2,"Decreasing","Yes","No",NA,NA,NA,"No",NA,"12","370",NA,"3",2,5,2,4,80,835,40,NA
"1029",NA,"Dracula sibundoyensis","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253767448,2023-09-08,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"20","275",NA,"3",2,5,2,4,80,835,40,NA
"1030",NA,"Dracula mantissa","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253767829,2023-09-08,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"20","3553",NA,"5",2,5,2,4,80,835,40,NA
"1031",NA,"Dracula levii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253768009,2023-09-08,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"20","386",NA,"4",2,5,2,4,80,835,40,NA
"1032",NA,"Dracula gigas","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253768363,2023-09-08,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"40","4012",NA,"3",2,5,2,4,80,835,40,NA
"1033",NA,"Dracula chiroptera","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253768757,2023-09-08,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"24","959",NA,"5",2,5,2,4,80,835,40,NA
"1034",NA,"Dracula alcithoe","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",253769392,2023-09-07,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"16","2479",NA,"4",2,5,2,4,80,835,40,NA
"1035","Galapagos Petrel","Pterodroma phaeopygia","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132619647,2018-08-07,"CR","3.1","A2bce","A2bce","Extant","Native",11,"Decreasing","Yes","Yes","No","Unknown","Yes","No","Yes","220","16800000","6000-15000","5",4,0.909090909090909,5,4,72.7272727272727,1035,18.1818181818182,NA
"1036",NA,"Cryptocanthon altus","ARTHROPODA","INSECTA","COLEOPTERA","SCARABAEIDAE",537213,2013-08-08,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,"100-400","650",NA,"1-4",2,10,1,3,60,1036,60,NA
"1037",NA,"Melocactus andinus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",556540,2011-07-26,"EN","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"300-400",NA,NA,"3-4",2,5,2,3,60,1036,30,NA
"1038",NA,"Magnolia neillii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",2293173,2007-04-02,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"44-500","71068",NA,NA,2,5,2,3,60,1036,30,NA
"1039",NA,"Leptolejeunea tridentata","MARCHANTIOPHYTA","JUNGERMANNIOPSIDA","PORELLALES","LEJEUNEACEAE",2894107,2010-10-19,"EN","3.1","B2ab(ii,iii,iv)","B2ab(ii,iii,iv)","Extant","Native",2,"Unknown",NA,"Yes","Yes",NA,"Yes",NA,"No","16-20",NA,NA,"4-5",2,5,2,3,60,1036,30,NA
"1040","Galeras Robber Frog","Pristimantis repens","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",3052643,2016-08-03,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,"No",NA,"1127.43",NA,"1-5",2,10,1,3,60,1036,60,NA
"1041",NA,"Brunellia almaguerensis","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","BRUNELLIACEAE",9678521,1998-01-01,"EN","2.3","B1+2c","B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,1,3,60,1036,60,NA
"1042",NA,"Acidocroton gentryi","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",10115251,1998-01-01,"EN","2.3","B1+2c","B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,1,3,60,1036,60,NA
