"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"248","Elingamita","Elingamita johnsonii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",62617544,2025-05-06,"VU","3.1","D1","D1",1,"Stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,"600-900",NA,1,10,0,6,0,NA,60,45
"249","Okarito Brown Kiwi","Apteryx rowi","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE",180757495,2020-08-03,"VU","3.1","D1","D1",1,"Increasing","No","No","No","No","No","No","No","428","428","350-400",NA,1,10,0,6,0,NA,60,45
"250","Chatham Pigeon","Hemiphaga chathamensis","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",214005740,2022-04-19,"VU","3.1","D1","D1",1,"Increasing","No","No","Unknown","No","No","No","No","1530","1900","250-999",NA,1,10,0,6,0,NA,60,45
"251","Rough-faced Shag","Leucocarbo carunculatus","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",217914197,2022-06-09,"VU","3.1","D1","D1",1,"Stable","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","56","960","250-999",NA,1,10,0,6,0,NA,60,45
"252","Torrentfish","Cheimarrichthys fosteri","CHORDATA","ACTINOPTERYGII","PERCIFORMES","CHEIMARRICHTHYIDAE",2482366,2014-08-13,"VU","3.1","A2bc","A2bc",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,0,0,NA,40,50
"253","New Zealand Lesser Short-tailed Bat","Mystacina tuberculata","CHORDATA","MAMMALIA","CHIROPTERA","MYSTACINIDAE",22070543,2020-10-15,"VU","3.1","A4bce","A4bce",1,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,"392346",NA,NA,1,10,4,0,0,NA,40,50
"254","Dumb Gulper Shark","Centrophorus harrissoni","CHORDATA","CHONDRICHTHYES","SQUALIFORMES","CENTROPHORIDAE",68614118,2019-11-21,"EN","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.33333333333333,6,0,0,NA,40,50
"255","Brown kiwi","Apteryx mantelli","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE",119177586,2017-10-01,"VU","3.1","A2bce","A2bce",1,"Stable","No","Yes","Unknown","No","Unknown","No","No",NA,"157000","10000-19999","11-100",1,10,4,0,0,NA,40,50
"256","Black-eyed Gecko","Mokopirirakau kahutarae","CHORDATA","REPTILIA","SQUAMATA","DIPLODACTYLIDAE",120188625,2018-02-17,"VU","3.1","A2e","A2e",1,"Decreasing",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,0,0,NA,40,50
"257","Forest Gecko","Mokopirirakau granulatus","CHORDATA","REPTILIA","SQUAMATA","DIPLODACTYLIDAE",120192529,2018-02-17,"VU","3.1","A2acde+4acde","A2acde+4acde",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,0,0,NA,40,50
