"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"45","Axolotl","Ambystoma mexicanum","CHORDATA","AMPHIBIA","CAUDATA","AMBYSTOMATIDAE",53947343,2019-10-23,"CR","3.1","A2abce","A2abce","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"467","50-1000","3",4,10,5,6,1200,45,240,NA
"46","Stripy  Ponytail","Beaucarnea recurvata","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPARAGACEAE",137376209,2019-11-05,"CR","3.1","A2acd+4ac","A2acd+4ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"100","16690.908",NA,NA,4,10,10,3,1200,45,400,NA
"47",NA,"Ceratozamia hildae","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243397490,2021-09-23,"CR","3.1","A2acd","A2acd","Extant","Native",1,"Decreasing","Yes","Yes","Yes",NA,NA,NA,NA,NA,"694","300-1000","5-10",4,10,5,6,1200,45,240,NA
"48",NA,"Ceratozamia zoquorum","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243401701,2020-09-11,"CR","3.1","A2acd","A2acd","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"3140","650-700",NA,4,10,5,6,1200,45,240,NA
"49","tush-kju","Dioon rzedowskii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243387089,2020-07-03,"EN","3.1","A2ac+4ac; B1ab(i,iii,iv,v)","A2ac+4ac; B1ab(i,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"Yes",NA,NA,"25-34","3000","2",2,10,6,9,1080,49,180,NA
"50",NA,"Euonymus chiapensis","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",126300686,2020-01-30,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"2499",NA,4,10,5,5,1000,50,200,NA
"51",NA,"Ouratea theophrasta","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","OCHNACEAE",126609663,2020-04-06,"CR","3.1","A2ac; D","A2ac; D","Extant","Native",2,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"16","3007.026","49",NA,4,5,5,10,1000,50,200,NA
"52",NA,"Agonandra goldbergiana","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","OPILIACEAE",126609713,2020-04-08,"CR","3.1","A2c; D","A2c; D","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4",NA,"49",NA,4,5,5,10,1000,50,200,NA
"53",NA,"Deppea erythrorhiza","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",126613396,2020-08-14,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"24","3987.296","2499",NA,4,10,5,5,1000,50,200,NA
"54","Palo Cal","Lonchocarpus plicatus","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",156940692,2019-10-01,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"12-500","36-500","2499",NA,4,10,5,5,1000,50,200,NA
