"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"Milky Stork","Mycteria cinerea","CHORDATA","AVES","CICONIIFORMES","CICONIIDAE",183200130,"2023-06-28","EN",3.1,"A2bcd+3bcd+4bcd; C2a(ii)","A2bcd+3bcd+4bcd; C2a(ii)","Extant","Native",5,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Unknown","No",NA,"3200000","600-1850, 1200-1850",NA,2,2,6,5,120,755,24,NA
NA,"Syzygium namosialangense","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",190443510,"2021-01-04","EN",3.1,"B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4-500","4-1750",NA,"1",2,10,1,6,120,755,120,NA
NA,"Vatica havilandii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",215143621,"2022-05-24","EN",3.1,"A2c+4c","A2c+4c","Extant","Native",3,"Increasing",NA,"Yes",NA,NA,NA,NA,NA,"112","850576",NA,NA,2,3.33333333333333,6,3,120,755,40,NA
NA,"Euphyllia baliensis","CNIDARIA","ANTHOZOA","SCLERACTINIA","EUPHYLLIIDAE",219836638,"2024-04-13","EN",3.1,"B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"84","525",NA,"1-4",2,10,2,3,120,755,60,NA
"Sanghir Squirrel","Prosciurillus rosenbergii","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE",233247375,"2023-06-22","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"696","696",NA,"1",2,10,1,6,120,755,120,NA
"Lompobatang Sulawesi Rat","Rattus mollicomulus","CHORDATA","MAMMALIA","RODENTIA","MURIDAE",233248690,"2022-06-06","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"173",NA,"1",2,10,1,6,120,755,120,NA
"Flores Monarch","Symposiachrus sacerdotum","CHORDATA","AVES","PASSERIFORMES","MONARCHIDAE",255132595,"2025-01-23","EN",3.1,"B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","No","348-696","820","2500-9999","4-10",2,10,2,3,120,755,60,NA
"Southwest Peninsula White-toothed Shrew","Crocidura australis","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE",270998918,"2023-08-12","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"1672",NA,"1",2,10,1,6,120,755,120,NA
"Tiny Sulawesi White-toothed Shrew","Crocidura parva","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE",271000247,"2023-08-20","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"2294",NA,"1",2,10,1,6,120,755,120,NA
NA,"Pterapogon kauderni","CHORDATA","ACTINOPTERYGII","PERCIFORMES","APOGONIDAE",274966962,"2007-03-01","EN",3.1,"B2ab(ii,iii,iv,v)","B2ab(ii,iii,iv,v)","Extant","Native",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,3,120,755,60,NA
"Chinese Crested Tern","Thalasseus bernsteini","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",131118818,"2018-08-07","CR",3.1,"C2a(i,ii); D","C2a(i,ii); D","Extant","Native",7,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","6","114000","30-49","4",4,1.42857142857143,2,10,114.285714285714,849,57.1428571428571,NA
NA,"Nososticta phoenissa","ARTHROPODA","INSECTA","ODONATA","PLATYCNEMIDIDAE",5659359,"2007-05-06","VU",3.1,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Unknown",NA,NA,NA,NA,NA,NA,"Yes",NA,"1-9999",NA,"2",1,10,2,5,100,850,50,NA
"Madura Horseshoe Bat","Rhinolophus madurensis","CHORDATA","MAMMALIA","CHIROPTERA","RHINOLOPHIDAE",22016850,"2015-12-26","VU",3.1,"B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"9957",NA,"2",1,10,2,5,100,850,50,NA
"Flat-headed Cat","Prionailurus planiceps","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE",50662095,"2014-05-21","EN",3.1,"C1","C1","Extant","Native",4,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"2499",NA,2,2.5,4,5,100,850,25,NA
