"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"42",NA,"Austrarchaea monteithi","ARTHROPODA","ARACHNIDA","ARANEAE","ARCHAEIDAE",196181330,2021-02-11,"CR","3.1","A2c; B1ab(iii,v)+2ab(iii,v)","A2c; B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","No","No","No","No","Yes","4","4-750",NA,"1",4,5,5,9,900,38,180,NA
"43",NA,"Austrarchaea mcguiganae","ARTHROPODA","ARACHNIDA","ARANEAE","ARCHAEIDAE",196183067,2021-02-11,"CR","3.1","A2c; B1ab(iii,v)+2ab(iii,v)","A2c; B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","No",NA,NA,"No","Yes","4","5-1500",NA,"1",4,5,5,9,900,38,180,NA
"44",NA,"Grevillea angustiloba","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113309155,2019-02-04,"CR","3.1","C1+2a(i)","C1+2a(i)","Extant","Native",3,"Decreasing","Yes","Yes",NA,NA,NA,"Unknown","No",NA,NA,"240-250",NA,4,3.33333333333333,8,8,853.333333333333,44,106.666666666667,NA
"45","Australian Painted-snipe","Rostratula australis","CHORDATA","AVES","CHARADRIIFORMES","ROSTRATULIDAE",212815091,2022-01-14,"EN","3.1","A2bce+3bce+4bce; C2a(ii)","A2bce+3bce+4bce; C2a(ii)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","1900-3100,2500","5200000","270-410, 340",NA,2,10,6,7,840,45,140,NA
"46","Leadbeater's Possum","Gymnobelideus leadbeateri","CHORDATA","MAMMALIA","DIPROTODONTIA","PETAURIDAE",21959976,2014-04-22,"CR","3.1","A2abc+3bc+4abc","A2abc+3bc+4abc","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes",NA,"284-5000,3500","1938-20000,10000","1100-11000, 2500","2-20,5",4,5,10,4,800,46,200,NA
"47","Western Ringtail Possum","Pseudocheirus occidentalis","CHORDATA","MAMMALIA","DIPROTODONTIA","PSEUDOCHEIRIDAE",21963100,2014-03-09,"CR","3.1","A2bce+3bce+4bce","A2bce+3bce+4bce","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes","No",NA,"300-500","40000","3400",NA,4,5,10,4,800,46,200,NA
"48","Northern Corroboree Frog","Pseudophryne pengilleyi","CHORDATA","AMPHIBIA","ANURA","MYOBATRACHIDAE",78435819,2022-03-28,"CR","3.1","A4ace","A4ace","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"2050",NA,"1",4,3.33333333333333,10,6,800,46,133.333333333333,NA
"49","Spencer’s River Tree Frog","Litoria spenceri","CHORDATA","AMPHIBIA","ANURA","PELODRYADIDAE",78437804,2021-08-23,"CR","3.1","A4ce","A4ce","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"24-72","596-4714","1499","1",4,3.33333333333333,10,6,800,46,133.333333333333,NA
"50",NA,"Ixalodectes flectocercus","ARTHROPODA","INSECTA","ORTHOPTERA","TETTIGONIIDAE",3225872,1996-08-01,"CR","2.3","B1+2bd","B1ab(ii,iv)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"51",NA,"Nanodectes bulbicercus","ARTHROPODA","INSECTA","ORTHOPTERA","TETTIGONIIDAE",4433116,1996-08-01,"CR","2.3","B1+2bd","B1ab(ii,iv)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"52",NA,"Pachysaga strobila","ARTHROPODA","INSECTA","ORTHOPTERA","TETTIGONIIDAE",5226014,1996-08-01,"CR","2.3","B1+2bd","B1ab(ii,iv)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"53",NA,"Placostylus bivaricosus","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ORTHALICIDAE",7077965,1996-08-01,"CR","2.3","B1+2abcde","B1ab(i,ii,iii,v)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"54",NA,"Schayera baiulus","ARTHROPODA","INSECTA","ORTHOPTERA","ACRIDIDAE",9121192,1996-08-01,"CR","2.3","B1+2bd","B1ab(ii,iv)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"55",NA,"Hemisaga elongata","ARTHROPODA","INSECTA","ORTHOPTERA","TETTIGONIIDAE",13025732,1996-08-01,"CR","2.3","B1+2bd","B1ab(ii,iv)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"56",NA,"Kosciuscola sp. nov. 4 'K. cuneatus Bogong Clade'","ARTHROPODA","INSECTA","ORTHOPTERA","ACRIDIDAE",196330114,2021-02-11,"CR","3.1","B1ab(ii,iii,v)","B1ab(ii,iii,v)","Extant","Native",1,"Unknown","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"43",NA,"1",4,10,2,9,720,50,360,NA
"57","Mt. Buffalo Skyhopper","Kosciuscola restrictus","ARTHROPODA","INSECTA","ORTHOPTERA","ACRIDIDAE",212098466,2021-02-11,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes","No",NA,NA,"No","Yes","12","12","1000-10000","1",4,10,2,9,720,50,360,NA
"58",NA,"Eucalyptus foliosa","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",133379947,2019-03-11,"CR","3.1","A2c","A2c","Extant","Native",2,"Stable",NA,NA,NA,NA,NA,NA,NA,"68","1270","250",NA,4,5,5,7,700,58,140,NA
"59","Night Parrot","Pezoporus occidentalis","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",211825128,2021-12-09,"CR","3.1","C2a(i)","C2a(i)","Extant","Native",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Yes","Unknown","No",NA,"1100000","40-500, 200","7-20,10",4,10,2,8,640,59,320,NA
"60","Central Rock-rat","Zyzomys pedunculatus","CHORDATA","MAMMALIA","RODENTIA","MURIDAE",22456932,2015-07-20,"CR","3.1","A2abce","A2abce","Extant","Native",2,"Decreasing","Yes","Yes","No","Yes","Yes","Yes","Yes","20","1000","800","1",4,5,5,6,600,60,120,NA
"61","Scott River Jugflower","Adenanthos detmoldii","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113306281,2018-10-26,"CR","3.1","A2ace+4ace","A2ace+4ace","Extant","Native",2,"Decreasing","Yes",NA,"Unknown",NA,"Unknown","No","Unknown",NA,"197","7000",NA,4,5,10,3,600,60,200,NA
"62","Brown’s Banksia","Banksia brownii","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113306481,2018-10-23,"CR","3.1","A2ace+3ce+4ace","A2ace+3ce+4ace","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Unknown",NA,NA,"No",NA,"2679",NA,NA,4,5,10,3,600,60,200,NA
"63",NA,"Grevillea pinifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308421,2018-10-25,"CR","3.1","A4ce","A4ce","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown",NA,"Unknown",NA,"2848",NA,NA,4,5,10,3,600,60,200,NA
"64",NA,"Grevillea scapigera","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308576,2018-10-25,"CR","3.1","A2ace+4ace","A2ace+4ace","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown",NA,"Unknown",NA,"1692",NA,NA,4,5,10,3,600,60,200,NA
"65",NA,"Grevillea tenuiloba","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308656,2018-10-25,"CR","3.1","A4ce","A4ce","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown",NA,"No",NA,"4480",NA,NA,4,5,10,3,600,60,200,NA
"66",NA,"Persoonia striata","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",121862790,2018-10-25,"CR","3.1","A4abc","A4abc","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,"Unknown",NA,"No","144",NA,NA,NA,4,5,10,3,600,60,200,NA
