"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"55",NA,"Paracercion ambiguum","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE",173756748,2020-06-24,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4",NA,NA,"1",4,10,2,9,720,32,360,NA
"56",NA,"Ophiogomphus longihamulus","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE",173775230,2020-06-14,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4",NA,NA,"1",4,10,2,9,720,32,360,NA
"57",NA,"Trigomphus kompieri","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE",173775260,2020-06-14,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4",NA,NA,"1",4,10,2,9,720,32,360,NA
"58",NA,"Protosticta spinosa","ARTHROPODA","INSECTA","ODONATA","PLATYSTICTIDAE",173775460,2020-06-15,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4","143",NA,"1",4,10,2,9,720,32,360,NA
"59","Trùng Trục Dài","Lanceolaria bilirata","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",176539680,2010-12-03,"CR","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Extant","Native",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"9","20-30",NA,"1",4,10,2,9,720,32,360,NA
"60",NA,"Lithocarpus quangnamensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219167972,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"61",NA,"Lithocarpus nhatrangensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219169149,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"62",NA,"Lithocarpus platyphyllus","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219169255,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4-8","4-8",NA,"1-2",4,10,2,9,720,32,360,NA
"63",NA,"Lithocarpus stenopus","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219169361,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","8","8",NA,"1",4,10,2,9,720,32,360,NA
"64",NA,"Lithocarpus laouanensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219169573,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"65",NA,"Lithocarpus concentricus","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219169684,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Possibly Extinct","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0-4","0-4",NA,"0-1",4,10,2,9,720,32,360,NA
"66",NA,"Lithocarpus toumorangensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219170212,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"67",NA,"Lithocarpus paviei","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219170430,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4-8","4-8",NA,"1-2",4,10,2,9,720,32,360,NA
"68",NA,"Lithocarpus vinhensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219170748,2020-12-14,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
