"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"47",NA,"Cyclophyllum rectinervium","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",158600256,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"48",NA,"Elaeocarpus chionanthus","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","ELAEOCARPACEAE",158600281,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"49",NA,"Elaeocarpus kambi","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","ELAEOCARPACEAE",158600286,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"50",NA,"Cryptocarya lancifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",159443987,2023-09-21,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"2",4,10,1,9,360,21,360,NA
"51",NA,"Delos gardineri","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","RHYTIDIDAE",176232042,2011-07-20,"CR","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii)","B1ab(i,ii,iii)+2ab(i,ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","No","Yes","Yes",NA,"Yes","9.8","45",NA,"1",4,10,1,9,360,21,360,NA
"52",NA,"Lauopa mbalavuana","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",176540358,2011-07-22,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","26","52.5",NA,"1",4,10,1,9,360,21,360,NA
"53",NA,"Maafu thaumasius","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",176630348,2011-08-22,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes","12","12.84",NA,"1",4,10,1,9,360,21,360,NA
"54",NA,"Sinployea angularis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",177156088,2011-08-22,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","10","13",NA,"1",4,10,1,9,360,21,360,NA
"55",NA,"Sinployea navutuenis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",177156787,2011-08-24,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes","4","6",NA,"2",4,10,1,9,360,21,360,NA
"56",NA,"Thaumatodon corrugata","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ENDODONTIDAE",177245626,2011-08-21,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes","17","22",NA,"1",4,10,1,9,360,21,360,NA
"57",NA,"Thaumatodon spirrhymatum","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ENDODONTIDAE",177246312,2011-07-26,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","4","34",NA,"1",4,10,1,9,360,21,360,NA
"58",NA,"Trochomorpha kambarae","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ZONITIDAE",177256743,2011-08-01,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","20","31.5",NA,"1",4,10,1,9,360,21,360,NA
"59",NA,"Trochomorpha planoconus","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ZONITIDAE",177258963,2011-08-03,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","9","30",NA,"1",4,10,1,9,360,21,360,NA
"60",NA,"Vatusila kondoi","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",177288505,2011-08-24,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes","12.84","12.84",NA,"1",4,10,1,9,360,21,360,NA
"61",NA,"Vatusila nayauana","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CHAROPIDAE",177289489,2011-08-24,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,NA,"13","13",NA,"1",4,10,1,9,360,21,360,NA
"62",NA,"Casearia angustifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",241274558,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"63",NA,"Antidesma trichophyllum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",241274578,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"64",NA,"Antidesma pacificum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",241274588,2023-09-04,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"2",4,10,1,9,360,21,360,NA
"65",NA,"Huberantha capillata","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",241274778,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"66",NA,"Ixora myrsinoides","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",241274828,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"67",NA,"Glochidion euryoides","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",241275139,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"68",NA,"Glochidion melvilleorum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",241275159,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"69",NA,"Meiogyne insularis","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",241275318,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"70",NA,"Melicope flaviflora","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",241275328,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"71",NA,"Melochia roseiflora","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",241275378,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
