"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"53","Narrownose Smoothhound","Mustelus schmitti","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",3092243,2019-07-01,"CR","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"54","Shortnose Eagle Ray","Myliobatis ridens","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","MYLIOBATIDAE",104025749,2019-07-01,"CR","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"55","Longfin Angelshark","Squatina argentina","CHORDATA","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE",116841596,2017-08-05,"CR","3.1","A2bd","A2bd",3,"Decreasing","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"56","Humpback Smoothhound","Mustelus whitneyi","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",124461599,2019-02-07,"CR","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"57","Spotted Houndshark","Triakis maculata","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",124461743,2019-02-07,"CR","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"58","Tentacled Butterfly Ray","Gymnura tentaculata","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","GYMNURIDAE",124498408,2020-09-23,"CR","3.1","A2cd","A2cd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"59","Spotback Skate","Atlantoraja castelnaui","CHORDATA","CHONDRICHTHYES","RAJIFORMES","ARHYNCHOBATIDAE",152015479,2019-07-01,"CR","3.1","A2bd","A2bd",3,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.33333333333333,10,0,0,NA,133.333333333333,19
"60","Grey Skate","Dipturus canutus","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",14134317,2015-02-20,"EN","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"61","Greeneye Spurdog","Squalus chloroculus","CHORDATA","CHONDRICHTHYES","SQUALIFORMES","SQUALIDAE",68644464,2018-08-14,"EN","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"62","Coastal Stingaree","Urolophus orarius","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","UROLOPHIDAE",68649829,2018-08-06,"EN","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,"Unknown",NA,NA,NA,NA,"40000",NA,NA,2,10,6,0,0,NA,120,31
"63","Brazilian Large-eyed Stingray","Hypanus marianae","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104130004,2019-07-01,"EN","3.1","A2cd","A2cd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"64","Puffadder Shyshark","Haploblepharus edwardsii","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","PENTANCHIDAE",124403633,2019-08-01,"EN","3.1","A2bcd","A2bcd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"65","Indonesian Guitarfish","Rhinobatos penggali","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",124464201,2020-05-12,"EN","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"66","Twineye Skate","Raja ocellifera","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",124552547,2019-08-01,"EN","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"67","Taiwan Angelshark","Squatina formosa","CHORDATA","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE",134193368,2019-08-29,"EN","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"68","Pearl Freshwater Stingray","Potamotrygon jabuti","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",188067194,2022-08-18,"EN","3.1","A2cd","A2cd",1,"Decreasing",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"69","Wallace's Freshwater Stingray","Potamotrygon wallacei","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",188067219,2022-04-29,"EN","3.1","A2cd","A2cd",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"70","Kite Ray","Zearaja chilensis","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",199743048,2019-02-06,"EN","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,31
"71","Brown Guitarfish","Rhinobatos schlegelii","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",104006031,2019-08-30,"CR","3.1","A2bd","A2bd",4,"Decreasing",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"72","Chilean Angelshark","Squatina armata","CHORDATA","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE",116831653,2019-02-08,"CR","3.1","A2bd+3d","A2bd+3d",4,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"73","Borneo Shark","Carcharhinus borneensis","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",124407121,2020-10-31,"CR","3.1","A2cd","A2cd",4,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"74","Reticulated Swellshark","Cephaloscyllium fasciatum","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIORHINIDAE",162870102,2019-11-21,"CR","3.1","A2d","A2d",4,"Decreasing",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"75","Shorttail Whipray","Maculabatis bineeshi","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",175219173,2020-05-21,"CR","3.1","A2cd","A2cd",4,"Decreasing",NA,NA,"Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"76","Speckled Smoothhound","Mustelus mento","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",203720849,2019-02-07,"CR","3.1","A2bd","A2bd",4,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"77","Smoothback Guitarfish","Rhinobatos lionotus","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",254715330,2019-05-13,"CR","3.1","A2d","A2d",4,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,10,0,0,NA,100,42
"78","Ceja Ray","Paratrygon aiereba","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",892453,2024-09-12,"CR","3.1","A2bcde","A2bcde",5,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,10,0,0,NA,80,50
"79","Shorttail Nurse Shark","Pseudoginglymostoma brevicaudatum","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","GINGLYMOSTOMATIDAE",124435749,2018-04-24,"CR","3.1","A2cd","A2cd",5,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,10,0,0,NA,80,50
